"created_at";"updated_at";"deleted_at";"name";"classification";"parse";"metaphone";"name_variations"
"";"";"";"ABGAIL";"F";"ABGAIL (ABG)";"ABG";"|ABGAIL|ADJAEL|"
"";"";"";"ADJAIR";"M";"ADJAIR (ADJR)";"ADJR";"|ABGAIR|ADGAIR|ADJAIR|"
"";"";"";"ABNER";"M";"ABNER (ABR)";"ABR";"|ABHNER|ABNE|ABNER|ABNNER|ADNE|ADNER|HABNER|"
"";"";"";"ADIR";"M";"ADIR (ADR)";"ADR";"|ABEIR|ABI|ABIR|ADEI|ADEIR|ADEY|ADI|ADIR|ADUIR|ADY|ADYR|HADI|HADY|"
"";"";"";"ADAIR";"M";"ADAIR (ADR)";"ADR";"|ABIA|ADAHIR|ADAHYR|ADAI|ADAIR|ADAY|ADAYR|ADIA|HABIA|"
"";"";"";"ADIAN";"M";"ADIAN (ADM)";"ADM";"|ABIAN|ADIAN|"
"";"";"";"ADIANA";"F";"ADIANA (AD)";"AD";"|ABIANA|ADAINA|ADIANA|"
"";"";"";"ADIANE";"F";"ADIANE (AD)";"AD";"|ABIANE|ADAINE|ADIANE|"
"";"";"";"ABIAS";"M";"ABIAS (ABS)";"ABS";"|ABIAS|ADAIS|ADIAS|"
"";"";"";"ABIATAR";"M";"ABIATAR (ABTR)";"ABTR";"|ABIATA|ABIATAR|"
"";"";"";"ADIB";"M";"ADIB (ADB)";"ADB";"|ABIB|ADIB|HABIB|"
"";"";"";"ABIDA";"F";"ABIDA (ABD)";"ABD";"|ABIDA|ADEIDA|ADIBA|"
"";"";"";"ABIDAN";"M";"ABIDAN (ABDM)";"ABDM";"|ABIDAN|"
"";"";"";"ABIDAO";"M";"ABIDAO (ABD)";"ABD";"|ABIDAO|"
"";"";"";"ABIDENOR";"M";"ABIDENOR (ABDR)";"ABDR";"|ABIDENOR|"
"";"";"";"ABIDERMAN";"M";"ABIDERMAN (ABDRMM)";"ABDRMM";"|ABIDERMAN|"
"";"";"";"ABIDIAS";"M";"ABIDIAS (ABDS)";"ABDS";"|ABIDIAS|"
"";"";"";"ABIDIEL";"M";"ABIDIEL (ABD)";"ABD";"|ABIDAL|ABIDEL|ABIDIEL|"
"";"";"";"ABIDON";"M";"ABIDON (ABDM)";"ABDM";"|ABIDOM|ABIDON|"
"";"";"";"ABIDORAL";"M";"ABIDORAL (ABDR)";"ABDR";"|ABIDORAL|"
"";"";"";"ABIEZER";"M";"ABIEZER (ABZR)";"ABZR";"|ABIESER|ABIEZER|"
"";"";"";"ABIGAIL";"F";"ABIGAIL (ABG)";"ABG";"|ABIGAEL|ABIGAIL|ABIGAL|ABIGUAIL|HABIGAIL|"
"";"";"";"ABIGAIR";"F";"ABIGAIR (ABGR)";"ABGR";"|ABIGAI|ABIGAIR|ADIJAIR|"
"";"";"";"ABIGAIU";"F";"ABIGAIU (ABGI)";"ABGI";"|ABIGAIU|"
"";"";"";"ADELANE";"F";"ADELANE (ADl)";"ADl";"|ABILANE|ADAILANE|ADEILANE|ADELANE|ADILANE|ADLANE|"
"";"";"";"ADEILDE";"F";"ADEILDE (ADD)";"ADD";"|ABILDE|ADAILDE|ADALBER|ADEILDE|ADILDE|"
"";"";"";"ADLER";"M";"ADLER (ADR)";"ADR";"|ABELE|ABILE|ADAILE|ADELE|ADELER|ADIELE|ADILE|ADILER|ADLE|ADLER|HADLER|"
"";"";"";"ADILENE";"F";"ADILENE (AD)";"AD";"|ABILENE|ABLENE|ADALENE|ADELENE|ADILENE|ADLENE|"
"";"";"";"ADELAINE";"F";"ADELAINE (ADl)";"ADl";"|ABILIANE|ADALIANE|ADELAINE|ADELAYNE|ADELIANE|ADILAINE|ADILIANE|ADLAINE|"
"";"";"";"ABIMAEL";"M";"ABIMAEL (ABM)";"ABM";"|ABIMAEL|ABIMAIL|ABIMAL|ABIMEL|ABYMAEL|ADIMAEL|"
"";"";"";"ABIMAELE";"F";"ABIMAELE (ABM)";"ABM";"|ABIMAELE|"
"";"";"";"ADIMAR";"M";"ADIMAR (ADMR)";"ADMR";"|ABIMAR|ADIMA|ADIMAR|"
"";"";"";"ABIMELEQUE";"M";"ABIMELEQUE (ABMK)";"ABMK";"|ABIMELEQUE|"
"";"";"";"ADINA";"F";"ADINA (AD)";"AD";"|ABINA|ADEINA|ADINA|ADINAR|ADYNA|"
"";"";"";"ABINADA";"M";"ABINADA (ABD)";"ABD";"|ABINADA|"
"";"";"";"ABINADAB";"M";"ABINADAB (ABDB)";"ABDB";"|ABINADAB|"
"";"";"";"ABINADABE";"M";"ABINADABE (ABDB)";"ABDB";"|ABINADABE|"
"";"";"";"ABINADABI";"M";"ABINADABI (ABDB)";"ABDB";"|ABINADABI|"
"";"";"";"ADINAEL";"M";"ADINAEL (AD)";"AD";"|ABINAEL|ABINAL|ABINEL|ABINOEL|ADINAEL|ADINAL|ADINEL|ADINIL|ADINOEL|"
"";"";"";"ADINAIR";"F";"ADINAIR (ADR)";"ADR";"|ABINAIR|ADINAI|ADINAIR|"
"";"";"";"ADINALDO";"M";"ADINALDO (ADD)";"ADD";"|ABINALDO|ADINAILDO|ADINALDO|ADINILDO|"
"";"";"";"ABINER";"M";"ABINER (ABR)";"ABR";"|ABINE|ABINER|ABYNER|ADEINE|ADINE|ADINER|HABINER|"
"";"";"";"ABINOA";"F";"ABINOA (AB)";"AB";"|ABINOA|"
"";"";"";"ABINOAN";"M";"ABINOAN (ABM)";"ABM";"|ABINOAM|ABINOAN|ADINOAN|"
"";"";"";"ADIO";"M";"ADIO (AD)";"AD";"|ABIO|ADIO|"
"";"";"";"ABIQUEILA";"F";"ABIQUEILA (ABKl)";"ABKl";"|ABIQUEILA|"
"";"";"";"ADIRACI";"F";"ADIRACI (ADS)";"ADS";"|ABIRACI|ADIRACI|"
"";"";"";"ADIRAN";"M";"ADIRAN (ADM)";"ADM";"|ABIRAN|ADIRAN|"
"";"";"";"ABISAEL";"M";"ABISAEL (ABS)";"ABS";"|ABISAEL|ABIZAEL|ADISOL|"
"";"";"";"ABISAGUE";"F";"ABISAGUE (ABSG)";"ABSG";"|ABISAGUE|ABIZAGUE|"
"";"";"";"ABISAI";"M";"ABISAI (ABS)";"ABS";"|ABISAI|ABISAIR|ABIZAI|ABIZAIR|ADISIA|ADIZIA|"
"";"";"";"ABISALAO";"M";"ABISALAO (ABSl)";"ABSl";"|ABISALAO|"
"";"";"";"ABISMAEL";"M";"ABISMAEL (ABSM)";"ABSM";"|ABISMAEL|"
"";"";"";"ADISON";"M";"ADISON (ADSM)";"ADSM";"|ABISON|ADEISOM|ADEISON|ADISOM|ADISON|ADIZON|ADYSON|HADISON|"
"";"";"";"ABISSALAO";"M";"ABISSALAO (ABS)";"ABS";"|ABISSALAO|"
"";"";"";"ABIUDE";"F";"ABIUDE (ABD)";"ABD";"|ABIUDE|ADEIUDE|"
"";"";"";"ABKEILA";"F";"ABKEILA (ABKl)";"ABKl";"|ABKEILA|"
"";"";"";"ABMAEL";"M";"ABMAEL (ABM)";"ABM";"|ABMAEL|ADMAEL|ADMIL|"
"";"";"";"ADMAR";"M";"ADMAR (ADMR)";"ADMR";"|ABMAR|ADHMAR|ADMA|ADMAR|"
"";"";"";"ADMARIO";"M";"ADMARIO (ADMR)";"ADMR";"|ABMARIO|ADMARIO|"
"";"";"";"ADNA";"F";"ADNA (AD)";"AD";"|ABNA|ADNA|ADNAR|ADNNA|HADNA|"
"";"";"";"ABNADAB";"M";"ABNADAB (ABDB)";"ABDB";"|ABNADAB|"
"";"";"";"ABNADABE";"M";"ABNADABE (ABDB)";"ABDB";"|ABNADABE|"
"";"";"";"ADNAEL";"M";"ADNAEL (AD)";"AD";"|ABNAEL|ABNEL|ABNOEL|ADNAEL|ADNEL|ADNIL|ADNOEL|"
"";"";"";"ADNEI";"M";"ADNEI (AD)";"AD";"|ABNEI|ABNI|ABNIR|ADNEI|ADNEY|ADNI|ADNIR|ADNY|"
"";"";"";"ADNALDO";"M";"ADNALDO (ADD)";"ADD";"|ABNALDO|ABNILDO|ADNAILDO|ADNALDO|ADNILDO|"
"";"";"";"ABNOAN";"F";"ABNOAN (ABM)";"ABM";"|ABNOAM|ABNOAN|"
"";"";"";"ADRA";"M";"ADRA (ADR)";"ADR";"|ABRAA|ADRA|"
"";"";"";"ABRAHAM";"M";"ABRAHAM (ABRM)";"ABRM";"|ABRAAM|ABRAAN|ABRAHAM|ABRAHAN|ABRAM|ABRAN|ADRAN|"
"";"";"";"ABRAAO";"M";"ABRAAO (ABR)";"ABR";"|AABRAO|ABRAAO|ABRAHAO|ABRAO|ABRHAO|ABRRAO|ADRAAO|ADRAO|HABRAAO|HABRAO|"
"";"";"";"ADRIAN";"M";"ADRIAN (ADRM)";"ADRM";"|ABRAHIM|ABRAIM|ABRAIN|ADRIAM|ADRIAN|ADRIANN|ADRYAM|ADRYAN|ADRYANN|HADRIAN|HADRYAN|"
"";"";"";"ABRAMO";"M";"ABRAMO (ABRM)";"ABRM";"|ABRAMO|"
"";"";"";"ABRANTES";"M";"ABRANTES (ABRTS)";"ABRTS";"|ABRANTES|"
"";"";"";"ADRELINA";"F";"ADRELINA (ADR)";"ADR";"|ABRELINA|ABRILINA|ADRELINA|"
"";"";"";"ABRELINO";"M";"ABRELINO (ABR)";"ABR";"|ABRELINO|ABRILINO|ADRELINO|"
"";"";"";"ABREU";"M";"ABREU (ABR)";"ABR";"|ABREU|"
"";"";"";"ABSAEL";"M";"ABSAEL (ABS)";"ABS";"|ABSAEL|ABSAIL|"
"";"";"";"ABSAIR";"M";"ABSAIR (ABSR)";"ABSR";"|ABSAI|ABSAIR|"
"";"";"";"ABSALAO";"M";"ABSALAO (ABSl)";"ABSl";"|ABSALAO|"
"";"";"";"ABSOLON";"M";"ABSOLON (ABSlM)";"ABSlM";"|ABSALON|ABSOLOM|ABSOLON|"
"";"";"";"ADSON";"M";"ADSON (ADSM)";"ADSM";"|ABSON|ADSOM|ADSON|ADZON|HADSON|"
"";"";"";"ABUD";"M";"ABUD (ABD)";"ABD";"|ABUD|"
"";"";"";"ACACIA";"F";"ACACIA (AKS)";"AKS";"|ACACIA|AKACIA|"
"";"";"";"ACACIO";"M";"ACACIO (AKS)";"AKS";"|ACACIO|AKACIO|"
"";"";"";"ACADIO";"M";"ACADIO (AKD)";"AKD";"|ACADIO|"
"";"";"";"ACAIO";"M";"ACAIO (AKI)";"AKI";"|ACAIO|"
"";"";"";"ACARCIO";"M";"ACARCIO (AKRS)";"AKRS";"|ACARCIO|"
"";"";"";"ACARI";"M";"ACARI (AKR)";"AKR";"|ACARI|ACARY|"
"";"";"";"ACASIO";"M";"ACASIO (AKS)";"AKS";"|ACASIO|AKASIO|"
"";"";"";"ACASSIA";"F";"ACASSIA (AKS)";"AKS";"|ACASSIA|AKASSIA|"
"";"";"";"ACASSIANO";"M";"ACASSIANO (AKS)";"AKS";"|ACASSIANO|"
"";"";"";"ACASSIO";"M";"ACASSIO (AKS)";"AKS";"|ACASSIO|AKASSIO|"
"";"";"";"ACATIA";"F";"ACATIA (AKT)";"AKT";"|ACATIA|AKATIA|"
"";"";"";"ACAUA";"M";"ACAUA (AK)";"AK";"|ACAUA|AKAUA|"
"";"";"";"ACAUAN";"M";"ACAUAN (AKM)";"AKM";"|ACAUAN|AKAUAN|"
"";"";"";"ACAZ";"M";"ACAZ (AKS)";"AKS";"|ACAZ|"
"";"";"";"ACCACIO";"M";"ACCACIO (AKKS)";"AKKS";"|ACCACIO|"
"";"";"";"ACEBIAS";"M";"ACEBIAS (ASBS)";"ASBS";"|ACEBIAS|"
"";"";"";"ACEDINA";"F";"ACEDINA (ASD)";"ASD";"|ACEDINA|"
"";"";"";"ACEDIR";"M";"ACEDIR (ASDR)";"ASDR";"|ACEDIR|"
"";"";"";"ACIR";"M";"ACIR (ASR)";"ASR";"|ACEIR|ACI|ACIR|ACY|ACYR|AKI|"
"";"";"";"ACIEL";"M";"ACIEL (AS)";"AS";"|ACEL|ACIEL|ACIL|ACIOL|AKEL|AKIL|"
"";"";"";"AKILA";"F";"AKILA (AKl)";"AKl";"|ACELA|ACILA|ACLA|AKILA|AKLA|AKUILA|AKYLA|HAKILA|"
"";"";"";"ACIOLI";"F";"ACIOLI (AS)";"AS";"|ACELI|ACELIR|ACELY|ACEOLI|ACIELI|ACIOLI|ACIOLY|ACLEI|AKELI|"
"";"";"";"ACELIA";"F";"ACELIA (AS)";"AS";"|ACELIA|ACILIA|ACLAIR|"
"";"";"";"ACELINA";"F";"ACELINA (AS)";"AS";"|ACELINA|ACILINA|ACIOLINA|"
"";"";"";"AKELINE";"F";"AKELINE (AK)";"AK";"|ACELINE|AKELINE|"
"";"";"";"ACELINO";"M";"ACELINO (AS)";"AS";"|ACELINO|ACILINO|ACIOLINO|ACYLINO|"
"";"";"";"ACELIO";"M";"ACELIO (AS)";"AS";"|ACELIO|ACILIO|"
"";"";"";"ACELMO";"M";"ACELMO (ASM)";"ASM";"|ACELMO|"
"";"";"";"ACILON";"M";"ACILON (ASlM)";"ASlM";"|ACELON|ACILOM|ACILON|"
"";"";"";"ACELSO";"M";"ACELSO (ASS)";"ASS";"|ACELSO|"
"";"";"";"ACEMAR";"M";"ACEMAR (ASMR)";"ASMR";"|ACEMAR|"
"";"";"";"AKEMI";"F";"AKEMI (AKM)";"AKM";"|ACEMIR|AKEMI|AKEMY|"
"";"";"";"ACENATE";"F";"ACENATE (AST)";"AST";"|ACENATE|"
"";"";"";"ACENDINA";"F";"ACENDINA (ASD)";"ASD";"|ACENDINA|"
"";"";"";"ACENDINO";"M";"ACENDINO (ASD)";"ASD";"|ACENDINO|"
"";"";"";"ACENIR";"M";"ACENIR (ASR)";"ASR";"|ACENI|ACENIR|AKENI|"
"";"";"";"ACENIL";"M";"ACENIL (AS)";"AS";"|ACENIL|"
"";"";"";"ACENILDA";"F";"ACENILDA (ASD)";"ASD";"|ACENILDA|"
"";"";"";"ACENILDE";"F";"ACENILDE (ASD)";"ASD";"|ACENILDE|"
"";"";"";"ACENILDO";"M";"ACENILDO (ASD)";"ASD";"|ACENILDO|"
"";"";"";"ACENILTON";"M";"ACENILTON (ASTM)";"ASTM";"|ACENILTON|"
"";"";"";"ACENO";"M";"ACENO (AS)";"AS";"|ACENO|ACENOR|"
"";"";"";"ACER";"M";"ACER (ASR)";"ASR";"|ACER|"
"";"";"";"ACETIDES";"M";"ACETIDES (ASTDS)";"ASTDS";"|ACETIDES|"
"";"";"";"ACHILA";"F";"ACHILA (AX)";"AX";"|ACHILA|ASHILA|"
"";"";"";"ACHILES";"M";"ACHILES (AX)";"AX";"|ACHILES|"
